,
,Voc (V),,0.900000,
,Isc (mA),,1.025568,
,Vm (V),,0.750000,
,Im (mA),,0.885467,
,Pmax (W),,0.000664,
,Jsc (mA/cm2),,25.639200,
,FF (%),,71.949313,
,PCE (%),,16.602505,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,0.983638456,24.590961402,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,0.982720288,24.568007211,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.980826444,24.520661100,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.979353674,24.483841844,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.977781252,24.444531300,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,0.975329021,24.383225536,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,0.972694193,24.317354837,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,0.971457979,24.286449479,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,0.970179914,24.254497839,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,0.967934728,24.198368192,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,0.965746876,24.143671908,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,0.963548373,24.088709324,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,0.962284277,24.057106930,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,0.959397526,23.984938161,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,0.956782897,23.919572413,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,0.953536888,23.838422203,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,0.950831221,23.770780535,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649999976,0.948001572,23.700039310,,,,,,,,,,,,,,,,,,,,,,,,,,
0.660000026,0.944127096,23.603177397,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670000017,0.939989288,23.499732197,,,,,,,,,,,,,,,,,,,,,,,,,,
