,
,Voc (V),,0.890000,
,Isc (mA),,1.058970,
,Vm (V),,0.740000,
,Im (mA),,0.900987,
,Pmax (W),,0.000667,
,Jsc (mA/cm2),,26.474250,
,FF (%),,70.741862,
,PCE (%),,16.668256,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.069433987,26.735849679,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.069757971,26.743949275,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.069367048,26.734176208,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.068708021,26.717700530,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.067848993,26.696224813,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.067506964,26.687674108,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.067733974,26.693349355,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.067172037,26.679300936,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.065774006,26.644350146,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.064507989,26.612699730,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.064214041,26.605351013,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.064307988,26.607699692,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.063541975,26.588549372,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.063092030,26.577300741,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.062407042,26.560176047,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.062348951,26.558723766,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.061724965,26.543124113,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.061273040,26.531826006,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.060134033,26.503350819,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.059566974,26.489174343,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.058969996,26.474249898,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.057498972,26.437474298,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.057615969,26.440399233,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.056578010,26.414450258,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.055425033,26.385625824,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.054216991,26.355424779,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.053579967,26.339499163,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.053318963,26.332974085,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.052498003,26.312450063,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.050806022,26.270150556,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.051163999,26.279099984,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.051221043,26.280526072,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.051265048,26.281626197,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.050708001,26.267700014,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.049797982,26.244949549,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.049123006,26.228075149,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.048358041,26.208951022,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.047426020,26.185650495,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.046534046,26.163351140,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.046587015,26.164675364,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.045683050,26.142076240,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.043776050,26.094401255,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.042281976,26.057049399,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.041539945,26.038498618,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,1.041213982,26.030349545,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,1.040581963,26.014549076,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,1.039540046,25.988501147,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,1.038330956,25.958273909,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,1.037213951,25.930348784,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,1.037282986,25.932074641,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,1.036842004,25.921050110,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,1.034924993,25.873124832,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,1.033338020,25.833450491,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,1.033100998,25.827524951,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,1.031539054,25.788476341,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,1.029283972,25.732099311,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,1.028264989,25.706624729,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,1.027590013,25.689750328,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,1.027179998,25.679499959,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,1.026734943,25.668373564,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,1.024774043,25.619351072,,,,,,,,,,,,,,,,,,,,,,,,,,
