,
,Voc (V),,0.910000,
,Isc (mA),,1.043586,
,Vm (V),,0.760000,
,Im (mA),,0.893194,
,Pmax (W),,0.000679,
,Jsc (mA/cm2),,26.089649,
,FF (%),,71.480844,
,PCE (%),,16.970682,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.054003951,26.350098778,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.052116975,26.302924380,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.050806954,26.270173839,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.050231978,26.255799457,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.051374013,26.284350315,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.050936058,26.273401454,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.049889950,26.247248752,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.049784012,26.244600303,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.050533960,26.263348991,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.050214050,26.255351258,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.049002982,26.225074544,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.047773985,26.194349630,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.046702964,26.167574106,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.046939055,26.173476363,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.044844044,26.121101109,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.043669996,26.091749896,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.044622040,26.115551009,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.043242984,26.081074611,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.042963006,26.074075140,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.043127966,26.078199153,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.043585944,26.089648600,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.043636003,26.090900064,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.042725053,26.068126317,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.042318996,26.057974901,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.042832970,26.070824242,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.041903975,26.047599385,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.041398034,26.034950861,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.040601055,26.015026378,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.040067058,26.001676451,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.039276947,25.981923682,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.039013965,25.975349126,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.037247013,25.931175333,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.036501024,25.912525598,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.036638045,25.915951119,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.036257949,25.906448718,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.035763999,25.894099963,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.034516026,25.862900657,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.034182962,25.854574051,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.033039996,25.825999910,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.030248008,25.756200193,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.029707957,25.742698926,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.030063955,25.751598878,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.029614010,25.740350247,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.028480008,25.712000206,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,1.027140999,25.678524980,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,1.026596990,25.664924760,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,1.026279991,25.656999787,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,1.025566016,25.639150408,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,1.025130972,25.628274307,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,1.023794990,25.594874751,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,1.021814998,25.545374956,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,1.020596945,25.514923618,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,1.019348041,25.483701029,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,1.018651994,25.466299849,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,1.017346978,25.433674455,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,1.016216003,25.405400083,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,1.015407033,25.385175832,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,1.014137990,25.353449746,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,1.012698980,25.317474501,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,1.011817949,25.295448722,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,1.011068001,25.276700035,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409999996,1.009594998,25.239874958,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419999987,1.009288942,25.232223561,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430000007,1.008630963,25.215774076,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439999998,1.007674029,25.191850727,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449999988,1.007015002,25.175375049,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460000008,1.005379017,25.134475436,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469999999,1.003646990,25.091174757,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,1.001709956,25.042748894,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,1.000083983,25.002099574,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.998723903,24.968097568,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.996401766,24.910044158,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.994190224,24.854755611,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,0.992146437,24.803660926,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,0.990224304,24.755607592,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,0.987344654,24.683616357,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,0.985312043,24.632801069,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,0.983052654,24.576316355,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,0.981064513,24.526612833,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,0.978798955,24.469973869,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,0.976770069,24.419251713,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,0.973964401,24.349110026,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,0.971741276,24.293531897,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,0.968553300,24.213832512,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,0.965127605,24.128190125,,,,,,,,,,,,,,,,,,,,,,,,,,
