,
,Voc (V),,0.890000,
,Isc (mA),,1.058895,
,Vm (V),,0.740000,
,Im (mA),,0.897089,
,Pmax (W),,0.000664,
,Jsc (mA/cm2),,26.472376,
,FF (%),,70.440849,
,PCE (%),,16.596156,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.073005027,26.825125678,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.072283951,26.807098766,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.071484992,26.787124807,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.070605009,26.765125222,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.070079976,26.751999394,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.068816986,26.720424648,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.067567035,26.689175866,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.066994038,26.674850960,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.067277975,26.681949385,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.066528028,26.663200697,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.066153985,26.653849636,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.064779004,26.619475102,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.065279008,26.631975197,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.064953045,26.623826125,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.063402975,26.585074374,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.062853029,26.571325725,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.061924035,26.548100868,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.060259994,26.506499853,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.059544971,26.488624280,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.059171977,26.479299413,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.058895024,26.472375612,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.057508052,26.437701308,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,1.056403969,26.410099235,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,1.056649024,26.416225592,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,1.055106986,26.377674658,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,1.053298009,26.332450216,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,1.053213025,26.330325636,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,1.053372049,26.334301219,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,1.052053994,26.301349862,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,1.051180996,26.279524900,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,1.050109975,26.252749376,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,1.050011022,26.250275550,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,1.049119048,26.227976196,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,1.047836035,26.195900864,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,1.047397032,26.184925810,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,1.047100988,26.177524705,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159999996,1.046051038,26.151275961,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170000002,1.045202953,26.130073820,,,,,,,,,,,,,,,,,,,,,,,,,,
0.180000007,1.044705044,26.117626112,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189999998,1.043312950,26.082823751,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200000003,1.042891992,26.072299806,,,,,,,,,,,,,,,,,,,,,,,,,,
0.209999993,1.042195014,26.054875343,,,,,,,,,,,,,,,,,,,,,,,,,,
0.219999999,1.040742034,26.018550852,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230000004,1.038708957,25.967723923,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239999995,1.038099057,25.952476426,,,,,,,,,,,,,,,,,,,,,,,,,,
0.250000000,1.036704984,25.917624589,,,,,,,,,,,,,,,,,,,,,,,,,,
0.259999990,1.037167967,25.929199182,,,,,,,,,,,,,,,,,,,,,,,,,,
0.270000011,1.036889036,25.922225905,,,,,,,,,,,,,,,,,,,,,,,,,,
0.280000001,1.034477027,25.861925678,,,,,,,,,,,,,,,,,,,,,,,,,,
0.289999992,1.033272943,25.831823586,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300000012,1.032199943,25.804998586,,,,,,,,,,,,,,,,,,,,,,,,,,
0.310000002,1.032265020,25.806625490,,,,,,,,,,,,,,,,,,,,,,,,,,
0.319999993,1.031465014,25.786625338,,,,,,,,,,,,,,,,,,,,,,,,,,
0.330000013,1.030178973,25.754474336,,,,,,,,,,,,,,,,,,,,,,,,,,
0.340000004,1.030626008,25.765650207,,,,,,,,,,,,,,,,,,,,,,,,,,
0.349999994,1.030107029,25.752675720,,,,,,,,,,,,,,,,,,,,,,,,,,
0.360000014,1.026868005,25.671700132,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370000005,1.026290003,25.657250080,,,,,,,,,,,,,,,,,,,,,,,,,,
0.379999995,1.026364975,25.659124367,,,,,,,,,,,,,,,,,,,,,,,,,,
0.389999986,1.025591046,25.639776140,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400000006,1.024269965,25.606749114,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409999996,1.022535027,25.563375675,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419999987,1.022235956,25.555898901,,,,,,,,,,,,,,,,,,,,,,,,,,
0.430000007,1.020987052,25.524676312,,,,,,,,,,,,,,,,,,,,,,,,,,
0.439999998,1.018314040,25.457851007,,,,,,,,,,,,,,,,,,,,,,,,,,
0.449999988,1.016843016,25.421075406,,,,,,,,,,,,,,,,,,,,,,,,,,
0.460000008,1.015602029,25.390050723,,,,,,,,,,,,,,,,,,,,,,,,,,
0.469999999,1.014570007,25.364250178,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,1.012495020,25.312375510,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,1.010954031,25.273850770,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,1.009511994,25.237799855,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,1.008476014,25.211900356,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,1.005972037,25.149300927,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,1.003262005,25.081550120,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,1.001661993,25.041549816,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,1.000722987,25.018074666,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,0.997656258,24.941406446,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,0.995401293,24.885032326,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,0.994184171,24.854604271,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,0.992384972,24.809624301,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,0.989137334,24.728433345,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,0.986275612,24.656890309,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,0.983090838,24.577270960,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,0.978682307,24.467057665,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,0.974225812,24.355645292,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649999976,0.969833811,24.245845270,,,,,,,,,,,,,,,,,,,,,,,,,,
0.660000026,0.964891689,24.122292234,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670000017,0.959660974,23.991524358,,,,,,,,,,,,,,,,,,,,,,,,,,
0.680000007,0.952329079,23.808226979,,,,,,,,,,,,,,,,,,,,,,,,,,
0.689999998,0.945760519,23.644012981,,,,,,,,,,,,,,,,,,,,,,,,,,
0.699999988,0.939095917,23.477397917,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709999979,0.929491885,23.237297137,,,,,,,,,,,,,,,,,,,,,,,,,,
