Graph Data Incident Insolation
http://www.pveducation.org/
Latitude: 41°
Array Tilt: 0°
day	incidents	horizonals	modules
0.000e+0	4.816	2.105	2.105
1	4.829	2.116	2.116
2	4.843	2.128	2.128
3	4.859	2.142	2.142
4	4.876	2.157	2.157
5	4.895	2.173	2.173
6	4.916	2.191	2.191
7	4.938	2.209	2.209
8	4.962	2.229	2.229
9	4.987	2.251	2.251
10	5.014	2.273	2.273
11	5.042	2.297	2.297
12	5.071	2.322	2.322
13	5.101	2.348	2.348
14	5.132	2.375	2.375
15	5.164	2.403	2.403
16	5.197	2.432	2.432
17	5.23	2.462	2.462
18	5.264	2.493	2.493
19	5.299	2.525	2.525
20	5.334	2.558	2.558
21	5.369	2.592	2.592
22	5.405	2.626	2.626
23	5.441	2.662	2.662
24	5.477	2.698	2.698
25	5.513	2.734	2.734
26	5.549	2.772	2.772
27	5.585	2.81	2.81
28	5.621	2.849	2.849
29	5.657	2.888	2.888
30	5.693	2.928	2.928
31	5.728	2.969	2.969
32	5.764	3.01	3.01
33	5.799	3.052	3.052
34	5.834	3.094	3.094
35	5.868	3.137	3.137
36	5.903	3.18	3.18
37	5.939	3.225	3.225
38	5.98	3.273	3.273
39	6.027	3.325	3.325
40	6.079	3.381	3.381
41	6.133	3.439	3.439
42	6.189	3.498	3.498
43	6.246	3.558	3.558
44	6.302	3.62	3.62
45	6.358	3.681	3.681
46	6.413	3.743	3.743
47	6.467	3.805	3.805
48	6.52	3.868	3.868
49	6.572	3.93	3.93
50	6.622	3.992	3.992
51	6.672	4.054	4.054
52	6.72	4.116	4.116
53	6.767	4.178	4.178
54	6.812	4.24	4.24
55	6.857	4.301	4.301
56	6.9	4.363	4.363
57	6.942	4.424	4.424
58	6.984	4.485	4.485
59	7.024	4.546	4.546
60	7.063	4.606	4.606
61	7.104	4.669	4.669
62	7.154	4.737	4.737
63	7.212	4.811	4.811
64	7.273	4.889	4.889
65	7.336	4.968	4.968
66	7.399	5.047	5.047
67	7.461	5.126	5.126
68	7.521	5.205	5.205
69	7.58	5.284	5.284
70	7.637	5.361	5.361
71	7.692	5.437	5.437
72	7.745	5.513	5.513
73	7.796	5.587	5.587
74	7.845	5.66	5.66
75	7.892	5.733	5.733
76	7.938	5.804	5.804
77	7.982	5.874	5.874
