1		 				2		 				3		 			
AM1.5G	13.946365	 	 	Measure Mode	AC-EQE	AM1.5G	13.946973	 	 	Measure Mode	AC-EQE	AM1.5G	13.231085	 	 	Measure Mode	AC-EQE
AM1.5D	11.978026	 	 	AM 1.5G	13.946365	AM1.5D	11.977920	 	 	AM 1.5G	13.946973	AM1.5D	11.368427	 	 	AM 1.5G	13.231085
AM 0	17.756974	 	 	AM 1.5D	11.978026	AM 0	17.763218	 	 	AM 1.5D	11.977920	AM 0	16.835940	 	 	AM 1.5D	11.368427
Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.756974	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	17.763218	Lambda(nm)	EQE (%)	SR (A/W)	Jsc (mA/cm^2)	AM 0	16.835940
525.0	76.838699	0.325325	0.252767			525.0	77.119336	0.326513	0.253382			525.0	73.087086	0.309441	0.240129		
530.0	75.302179	0.321856	0.245310			530.0	75.857529	0.324230	0.246663			530.0	72.125061	0.308276	0.234147		
535.0	74.017739	0.319351	0.248099			535.0	74.868144	0.323020	0.250430			535.0	71.278289	0.307531	0.238262		
540.0	73.086222	0.318279	0.246990			540.0	73.912272	0.321876	0.249805			540.0	70.798662	0.308317	0.238545		
545.0	72.337577	0.317935	0.241607			545.0	73.548383	0.323257	0.245002			545.0	70.665682	0.310587	0.235045		
550.0	71.773257	0.318349	0.244266			550.0	73.320669	0.325213	0.248942			550.0	70.897783	0.314466	0.239950		
555.0	71.738491	0.321088	0.247481			555.0	73.345646	0.328281	0.252922			555.0	71.137765	0.318399	0.244937		
560.0	71.814130	0.324322	0.243126			560.0	73.682875	0.332761	0.249008			560.0	71.870297	0.324576	0.242192		
565.0	72.366466	0.329734	0.248334			565.0	74.347198	0.338759	0.254965			565.0	72.636573	0.330965	0.248897		
570.0	73.024202	0.335676	0.248529			570.0	75.032534	0.344908	0.255348			570.0	73.593476	0.338293	0.249965		
