,
,Voc (V),,0.120000,
,Isc (mA),,0.002284,
,Vm (V),,0.060000,
,Im (mA),,0.001033,
,Pmax (W),,0.000000,
,Jsc (mA/cm2),,0.057105,
,FF (%),,22.602296,
,PCE (%),,0.001549,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,0.006461676,0.161541902,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,0.006227553,0.155688826,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,0.006060720,0.151517997,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,0.005862400,0.146560001,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,0.005636412,0.140910299,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,0.005454564,0.136364099,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,0.005211625,0.130290630,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,0.005031786,0.125794645,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,0.004792246,0.119806145,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,0.004608397,0.115209923,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,0.004330683,0.108267079,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,0.004161548,0.104038702,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,0.003943789,0.098594728,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,0.003775650,0.094391248,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,0.003520446,0.088011149,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,0.003300318,0.082507950,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,0.003119153,0.077978825,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,0.002892675,0.072316874,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,0.002705904,0.067647602,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,0.002463632,0.061590799,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,0.002284186,0.057104648,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,0.002044756,0.051118900,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,0.001867825,0.046695624,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,0.001634430,0.040860749,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,0.001473569,0.036839225,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,0.001217522,0.030438051,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,0.001032557,0.025813924,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,0.000874504,0.021862596,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,0.000772303,0.019307571,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,0.000530654,0.013266360,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100000001,0.000343431,0.008585785,,,,,,,,,,,,,,,,,,,,,,,,,,
0.109999999,0.000145861,0.003646530,,,,,,,,,,,,,,,,,,,,,,,,,,
0.119999997,-0.000077623,-0.001940567,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129999995,-0.000256718,-0.006417952,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140000001,-0.000587114,-0.014677848,,,,,,,,,,,,,,,,,,,,,,,,,,
0.150000006,-0.000767032,-0.019175791,,,,,,,,,,,,,,,,,,,,,,,,,,
