,
,Voc (V),,0.310000,
,Isc (mA),,0.002222,
,Vm (V),,0.160000,
,Im (mA),,0.001085,
,Pmax (W),,0.000000,
,Jsc (mA/cm2),,0.055540,
,FF (%),,25.200611,
,PCE (%),,0.004339,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,0.003649860,0.091246500,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,0.003636970,0.090924249,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,0.003502550,0.087563751,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,0.003496814,0.087420352,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,0.003356477,0.083911925,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,0.003326526,0.083163150,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,0.003235182,0.080879551,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,0.003171527,0.079288174,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,0.003106146,0.077653652,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,0.003014168,0.075354200,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,0.002965361,0.074134027,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,0.002865265,0.071631626,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,0.002821350,0.070533753,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,0.002719781,0.067994523,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,0.002673484,0.066837100,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,0.002582009,0.064550227,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,0.002515604,0.062890098,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,0.002448189,0.061204724,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,0.002360592,0.059014798,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,0.002307882,0.057697048,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,0.002221611,0.055540278,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,0.002162573,0.054064327,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020000000,0.002078940,0.051973501,,,,,,,,,,,,,,,,,,,,,,,,,,
0.029999999,0.002008103,0.050202573,,,,,,,,,,,,,,,,,,,,,,,,,,
0.039999999,0.001940869,0.048521724,,,,,,,,,,,,,,,,,,,,,,,,,,
0.050000001,0.001872914,0.046822851,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059999999,0.001802212,0.045055299,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070000000,0.001722718,0.043067951,,,,,,,,,,,,,,,,,,,,,,,,,,
0.079999998,0.001670276,0.041756900,,,,,,,,,,,,,,,,,,,,,,,,,,
0.090000004,0.001572932,0.039323299,,,,,,,,,,,,,,,,,,,,,,,,,,
