N,dL_m,dQ_C,RMS_error_V,MSE_V2,MAE_V,MaxAbsError_V,RelativeRMS_percent
20,0.1,1e-10,0.766612059884458,0.587694050360291,0.0765418754799744,14.1311438980786,4.04175164416529
50,0.04,4e-11,0.0750953384636373,0.00563930985896824,0.00789446317013347,1.05682612047778,0.395919557736022
100,0.02,2e-11,0.00496944394604819,2.4695373132915e-05,0.000547323118060728,0.180115913516509,0.0262000290506189
