Point,x_m,y_m,Distance_to_A_m,V_continuous_V,V_N100_V,V_N50_V,V_N20_V
P1,-2,-2,2.23606797749979,6.42196253004755,6.42195871402024,6.42194726354097,6.42186700944952
P2,-2,-1.5,1.80277563773199,7.36641322135554,7.36639954506384,7.36635851090817,7.36607105006549
P3,-2,-1,1.4142135623731,8.43365584991272,8.43361704661496,8.43350063026299,8.43268544585742
P4,-2,-0.5,1.11803398874989,9.43329939719492,9.43320806440163,9.43293410073594,9.4310178141288
