,
,Voc (V),,0.890000,
,Isc (mA),,1.022309,
,Vm (V),,0.730000,
,Im (mA),,0.876275,
,Pmax (W),,0.000640,
,Jsc (mA/cm2),,25.557724,
,FF (%),,70.305773,
,PCE (%),,15.992014,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,0.980260433,24.506510817,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,0.978106400,24.452660000,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.975658128,24.391453189,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.974220689,24.355517235,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.971769914,24.294247851,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,0.968828273,24.220706837,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,0.967670174,24.191754346,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,0.965626910,24.140672758,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,0.962429622,24.060740543,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,0.959788216,23.994705407,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,0.957466313,23.936657817,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,0.955355703,23.883892572,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,0.952362316,23.809057893,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,0.949141104,23.728527594,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,0.946706219,23.667655478,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,0.943788618,23.594715458,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,0.939277816,23.481945391,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649999976,0.935506425,23.387660622,,,,,,,,,,,,,,,,,,,,,,,,,,
0.660000026,0.930679671,23.266991775,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670000017,0.925003085,23.125077132,,,,,,,,,,,,,,,,,,,,,,,,,,
0.680000007,0.919349492,22.983737290,,,,,,,,,,,,,,,,,,,,,,,,,,
0.689999998,0.911956304,22.798907594,,,,,,,,,,,,,,,,,,,,,,,,,,
0.699999988,0.904152403,22.603810066,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709999979,0.895910605,22.397765133,,,,,,,,,,,,,,,,,,,,,,,,,,
0.720000029,0.886651396,22.166284907,,,,,,,,,,,,,,,,,,,,,,,,,,
0.730000019,0.876274717,21.906867914,,,,,,,,,,,,,,,,,,,,,,,,,,
0.740000010,0.863142079,21.578551969,,,,,,,,,,,,,,,,,,,,,,,,,,
