,
,Voc (V),,0.890000,
,Isc (mA),,1.019152,
,Vm (V),,0.730000,
,Im (mA),,0.863670,
,Pmax (W),,0.000630,
,Jsc (mA/cm2),,25.478800,
,FF (%),,69.509087,
,PCE (%),,15.761972,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
0.479999989,0.972018286,24.300457153,,,,,,,,,,,,,,,,,,,,,,,,,,
0.490000010,0.970825320,24.270633003,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000000,0.968941720,24.223543005,,,,,,,,,,,,,,,,,,,,,,,,,,
0.509999990,0.967808592,24.195214792,,,,,,,,,,,,,,,,,,,,,,,,,,
0.519999981,0.965776504,24.144412600,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529999971,0.962804479,24.070111976,,,,,,,,,,,,,,,,,,,,,,,,,,
0.540000021,0.960269477,24.006736930,,,,,,,,,,,,,,,,,,,,,,,,,,
0.550000012,0.958725985,23.968149617,,,,,,,,,,,,,,,,,,,,,,,,,,
0.560000002,0.956378819,23.909470474,,,,,,,,,,,,,,,,,,,,,,,,,,
0.569999993,0.953591487,23.839787173,,,,,,,,,,,,,,,,,,,,,,,,,,
0.579999983,0.951565627,23.789140687,,,,,,,,,,,,,,,,,,,,,,,,,,
0.589999974,0.948001805,23.700045131,,,,,,,,,,,,,,,,,,,,,,,,,,
0.600000024,0.945716689,23.642917222,,,,,,,,,,,,,,,,,,,,,,,,,,
0.610000014,0.943699095,23.592477373,,,,,,,,,,,,,,,,,,,,,,,,,,
0.620000005,0.939238991,23.480974778,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629999995,0.934932614,23.373315344,,,,,,,,,,,,,,,,,,,,,,,,,,
0.639999986,0.930645387,23.266134667,,,,,,,,,,,,,,,,,,,,,,,,,,
0.649999976,0.925014727,23.125368170,,,,,,,,,,,,,,,,,,,,,,,,,,
0.660000026,0.920116610,23.002915259,,,,,,,,,,,,,,,,,,,,,,,,,,
0.670000017,0.914373086,22.859327146,,,,,,,,,,,,,,,,,,,,,,,,,,
0.680000007,0.908642483,22.716062085,,,,,,,,,,,,,,,,,,,,,,,,,,
0.689999998,0.901713211,22.542830266,,,,,,,,,,,,,,,,,,,,,,,,,,
0.699999988,0.891677104,22.291927598,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709999979,0.883721805,22.093045118,,,,,,,,,,,,,,,,,,,,,,,,,,
