,
,Voc (V),,0.890000,
,Isc (mA),,1.016963,
,Vm (V),,0.730000,
,Im (mA),,0.867103,
,Pmax (W),,0.000633,
,Jsc (mA/cm2),,25.424076,
,FF (%),,69.935599,
,PCE (%),,15.824627,
,Cell area (cm2),,0.040000,

V(V),I(mA),J(mA/cm2),,,,,,,,,,,,,,,,,,,,,,,,,,
-0.200000003,1.025786041,25.644651032,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.189999998,1.024776953,25.619423832,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.180000007,1.025571022,25.639275555,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.170000002,1.026247046,25.656176149,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.159999996,1.025615027,25.640375679,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150000006,1.024815021,25.620375527,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.140000001,1.023369026,25.584225659,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.129999995,1.022503944,25.562598603,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.119999997,1.021096949,25.527423713,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.109999999,1.020880998,25.522024953,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.100000001,1.020621043,25.515526067,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.090000004,1.020784024,25.519600604,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.079999998,1.020492055,25.512301363,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070000000,1.019553980,25.488849496,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.059999999,1.018973999,25.474349968,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.050000001,1.018145005,25.453625130,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.039999999,1.017334987,25.433374685,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.029999999,1.017706003,25.442650076,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020000000,1.017258968,25.431474205,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.010000000,1.016743947,25.418598671,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000000000,1.016963040,25.424076011,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010000000,1.016331022,25.408275542,,,,,,,,,,,,,,,,,,,,,,,,,,
